,cksum,tifsize,tifname
0,80756657,27465352,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/w6uejlue.tif
1,15925452,32159712,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/dhaohj9d.tif
2,2376188009,33070516,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/k85cemwe.tif
3,1145865362,33908676,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/mlibso49.tif
4,3795133272,34088490,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/zvy86vvj.tif
5,2798573061,63744208,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/l6s043vm.tif
6,1661722161,49551528,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/jdf0aac8.tif
7,867322312,68119362,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/0pp2l7u8.tif
8,840061569,52531400,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/qmle7cjk.tif
9,1639134883,71435038,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/jdso97ug.tif
10,2438697466,76474620,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/09lh5igz.tif
11,538633668,3595267552,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/c9k5lpw4.tif
12,1557874738,3592303016,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/s8zzts43.tif
13,1952339023,77737950,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/0by07vj3.tif
14,2882970919,3589510756,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/ndglgev5.tif
15,1338232990,84750492,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/5jy1o8lq.tif
16,1986134741,89757364,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/6paqhr83.tif
17,1075267860,3632553080,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/g7nxofvt.tif
18,3941847704,3564803902,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/1s49l0io.tif
19,3947721944,90576414,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/btp9c9y2.tif
20,1293391629,3800678172,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/m67h1lpt.tif
21,3806329524,91304804,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/g4pp5cj4.tif
22,4119563424,3797400180,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/ny96phgy.tif
23,3175094965,3836406668,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/qt95oxul.tif
24,3873926790,91396922,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/ggsvlf6n.tif
25,110797646,96541882,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/0xqvhhhv.tif
26,402147713,3922230694,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/sbo83c5q.tif
27,4127793609,3961563700,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/6jn7wrbc.tif
28,2460617090,96831884,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/nmeukpme.tif
29,810657043,102042834,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/lzvsdyz8.tif
30,3852409096,105247874,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/nf71rlkv.tif
31,2085341479,4175597278,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/rr2jx9as.tif
32,765200221,4198582882,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/tdb0zem7.tif
33,3768638427,105370246,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/d1m5lx72.tif
34,1795975059,106704484,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/5bpd8r2u.tif
35,2851789773,115352014,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/ecag4bhf.tif
36,2276237295,3558284450,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/tvqb81i6.tif
37,795403023,3549725296,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/qpbyhjj8.tif
38,3164791773,3534032904,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/z3gux4j8.tif
39,610826942,3526072022,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/1qj50pty.tif
40,4195852917,116284988,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/2b1tip4m.tif
41,612586885,117260762,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/ki8bbg7j.tif
42,1220098451,3507288306,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/1mrv16xo.tif
43,1247736434,3507118564,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/zskvebbt.tif
44,4237381252,128820172,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/4wflvl5k.tif
45,1803419324,3490534940,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/9hvfn4ep.tif
46,1081184447,3489552926,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/g8uuhntb.tif
47,3145761076,3478954384,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/x5ux3k1f.tif
48,3083853198,131408792,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/fuai8ziq.tif
49,2090258826,132992106,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/zr5aauqn.tif
50,3665458885,3448223010,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/j19g3ll1.tif
51,1280139950,135314252,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/a0b6z7y6.tif
52,1721666922,3437016462,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/oq8rtcs6.tif
53,1038392801,136123872,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/vif6zvk6.tif
54,779094384,136597154,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/7aaoaayu.tif
55,1949851255,136729436,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/n7jd638y.tif
56,4009573900,142652818,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/5by2awad.tif
57,2888270455,3394301048,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/n4npkt42.tif
58,1366119351,145261384,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/9v0bl8q7.tif
59,2589817245,3330727514,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/x9r1w4o8.tif
60,3475643893,3319692964,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/4qpgzvl7.tif
61,1916271321,146025912,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/celd7o0o.tif
62,719990734,3308932552,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/jbffudqs.tif
63,3112831953,3307402510,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/fuzjnrv4.tif
64,934165922,149230420,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/0m5hi10i.tif
65,2494371937,3296854410,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/uj49228j.tif
66,2234302372,3225291568,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/kc82nuft.tif
67,3106072838,3259827556,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/kodz9va5.tif
68,3577016659,149816816,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/1m374rou.tif
69,1111638201,3223141772,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/zgl0j5pk.tif
70,3764293069,155233852,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/hivilrwh.tif
71,48967154,156829342,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/8wmhpqgt.tif
72,2030386894,3221462160,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/kyk203jv.tif
73,668611272,158100540,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/20b0hfk9.tif
74,120893121,3219532002,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/4cyzecqy.tif
75,473935404,3181368188,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/021j1l2q.tif
76,4040708356,158850886,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/vv2yye73.tif
77,124472933,161329100,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/qtbqbfn2.tif
78,2199698271,3151425228,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/mzk727dn.tif
79,2535600535,168695806,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/gcspnjib.tif
80,1276886916,170935150,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/6ohqtmn2.tif
81,907143878,172538572,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/4xejray1.tif
82,2476434337,178466140,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/qmsqv731.tif
83,538468916,178641408,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/mwcv47c0.tif
84,2656012333,3130085944,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/vv3ilq6i.tif
85,2034924778,3115879924,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/3j58caqk.tif
86,1846838616,3109347220,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/posoxytq.tif
87,139989303,3103890172,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/4s30tyu3.tif
88,1873220670,3094596376,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/n09kbl1k.tif
89,2770474598,3060078846,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/z50i3bb5.tif
90,3346999966,183790096,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/kn352tx7.tif
91,1176481740,3050988006,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/gmva643j.tif
92,2013354878,183968114,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/4syll7r6.tif
93,2055370697,3032680386,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/njo4ng0d.tif
94,774757411,3017627820,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/4zie41k7.tif
95,2082378409,187308434,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/b9nuvd5p.tif
96,4105378753,189270292,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/unympqw0.tif
97,3175063951,3012434862,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/tuvulrkm.tif
98,819445806,192728896,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/zqox8pa3.tif
99,997309865,194184250,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/2q7cf9vx.tif
100,4153458200,2946232856,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/hv6u1w7l.tif
101,1515509652,196465332,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/9fl81jek.tif
102,3037790528,199663840,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/zgyrwiqz.tif
103,2126599906,2944203140,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/gvpsd5dp.tif
104,1191947468,203868158,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/48zei162.tif
105,117435195,204425754,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/94c4bcxq.tif
106,815734196,205089648,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/qz9gotki.tif
107,3158933814,2918516286,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/g0ljba3c.tif
108,4176960931,2906507412,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/qpoutu5y.tif
109,3031734450,2898599406,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/j49fiint.tif
110,1114605325,206046522,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/wzf2a26k.tif
111,60709730,2889807164,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/0loc1tvr.tif
112,1615574857,2876393180,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/fyzjowb9.tif
113,1350112420,2873451926,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/r16qa9t2.tif
114,1670921738,206314106,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/14s8dzlj.tif
115,3164644349,210321080,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/3utxcbt7.tif
116,1302558585,2853108926,/home/broug/Desktop/visiomel-melanoma-runtime/notebooks/../data/originals/i61c111v.tif
